major_field,time_to_degree,year,md_years
All fields,Since bachelor's,1988,10.6
All fields,Since starting graduate school,1988,8.7
All fields,Since starting graduate school,1988,NA
All fields,Since bachelor's,1988,9
All fields,Since starting graduate school,1988,7.5
All fields,Since starting graduate school,1988,NA
All fields,Since bachelor's,1988,7.5
All fields,Since starting graduate school,1988,6.7
All fields,Since starting graduate school,1988,NA
All fields,Since bachelor's,1988,10.6
All fields,Since starting graduate school,1988,8.8
Engineering,Since bachelor's,1988,8.2
Engineering,Since starting graduate school,1988,6.7
Education,Since bachelor's,1988,17
Education,Since starting graduate school,1988,13.9
Education,Since starting graduate school,1988,NA
Education,Since bachelor's,1988,12.3
Education,Since starting graduate school,1988,10.7
Education,Since starting graduate school,1988,NA
Education,Since bachelor's,1988,13.1
Education,Since starting graduate school,1988,10.7
Education,Since starting graduate school,1988,NA
Education,Since starting graduate school,1988,NA
Education,Since starting graduate school,1988,NA
Education,Since starting graduate school,1988,NA
Education,Since starting graduate school,1988,NA
All fields,Since bachelor's,1993,10.7
All fields,Since starting graduate school,1993,8.7
All fields,Since starting graduate school,1993,NA
All fields,Since bachelor's,1993,9.5
All fields,Since starting graduate school,1993,7.7
All fields,Since starting graduate school,1993,NA
All fields,Since bachelor's,1993,8.3
All fields,Since starting graduate school,1993,7
All fields,Since starting graduate school,1993,NA
All fields,Since bachelor's,1993,10.6
All fields,Since starting graduate school,1993,8.7
Engineering,Since bachelor's,1993,9
Engineering,Since starting graduate school,1993,7.2
Education,Since bachelor's,1993,19.3
Education,Since starting graduate school,1993,15.7
Education,Since starting graduate school,1993,NA
Education,Since bachelor's,1993,12
Education,Since starting graduate school,1993,10.2
Education,Since starting graduate school,1993,NA
Education,Since bachelor's,1993,13.3
Education,Since starting graduate school,1993,10.7
Education,Since starting graduate school,1993,NA
Education,Since starting graduate school,1993,NA
Education,Since starting graduate school,1993,NA
Education,Since starting graduate school,1993,NA
Education,Since starting graduate school,1993,NA
All fields,Since bachelor's,1998,10.5
All fields,Since starting graduate school,1998,8.3
All fields,Since starting graduate school,1998,NA
All fields,Since bachelor's,1998,9.2
All fields,Since starting graduate school,1998,7.5
All fields,Since starting graduate school,1998,NA
All fields,Since bachelor's,1998,8
All fields,Since starting graduate school,1998,6.7
All fields,Since starting graduate school,1998,NA
All fields,Since bachelor's,1998,10
All fields,Since starting graduate school,1998,7.9
Engineering,Since bachelor's,1998,8.8
Engineering,Since starting graduate school,1998,7.2
Education,Since bachelor's,1998,20
Education,Since starting graduate school,1998,15.2
Education,Since starting graduate school,1998,NA
Education,Since bachelor's,1998,11.6
Education,Since starting graduate school,1998,9.7
Education,Since starting graduate school,1998,NA
Education,Since bachelor's,1998,13.7
Education,Since starting graduate school,1998,10.7
Education,Since starting graduate school,1998,NA
Education,Since starting graduate school,1998,NA
Education,Since starting graduate school,1998,NA
Education,Since starting graduate school,1998,NA
Education,Since starting graduate school,1998,NA
All fields,Since bachelor's,2003,10.2
All fields,Since starting graduate school,2003,8.5
All fields,Since starting graduate school,2003,NA
All fields,Since bachelor's,2003,8.9
All fields,Since starting graduate school,2003,7.2
All fields,Since starting graduate school,2003,NA
All fields,Since bachelor's,2003,7.8
All fields,Since starting graduate school,2003,6.7
All fields,Since starting graduate school,2003,NA
All fields,Since bachelor's,2003,10
All fields,Since starting graduate school,2003,8.2
Engineering,Since bachelor's,2003,8.6
Engineering,Since starting graduate school,2003,7.3
Education,Since bachelor's,2003,18.1
Education,Since starting graduate school,2003,13.2
Education,Since starting graduate school,2003,NA
Education,Since bachelor's,2003,11.3
Education,Since starting graduate school,2003,9.7
Education,Since starting graduate school,2003,NA
Education,Since bachelor's,2003,13.8
Education,Since starting graduate school,2003,10.7
Education,Since starting graduate school,2003,NA
Education,Since starting graduate school,2003,NA
Education,Since starting graduate school,2003,NA
Education,Since starting graduate school,2003,NA
Education,Since starting graduate school,2003,NA
All fields,Since bachelor's,2008,9.4
All fields,Since starting graduate school,2008,7.7
All fields,Since starting graduate school,2008,NA
All fields,Since bachelor's,2008,8.6
All fields,Since starting graduate school,2008,6.9
All fields,Since starting graduate school,2008,NA
All fields,Since bachelor's,2008,7.7
All fields,Since starting graduate school,2008,6.7
All fields,Since starting graduate school,2008,NA
All fields,Since bachelor's,2008,9.6
All fields,Since starting graduate school,2008,7.7
Engineering,Since bachelor's,2008,7.9
Engineering,Since starting graduate school,2008,6.7
Education,Since bachelor's,2008,17
Education,Since starting graduate school,2008,12.7
Education,Since starting graduate school,2008,NA
Education,Since bachelor's,2008,11.3
Education,Since starting graduate school,2008,9.3
Education,Since starting graduate school,2008,NA
Education,Since bachelor's,2008,12.1
Education,Since starting graduate school,2008,9.3
Education,Since starting graduate school,2008,NA
Education,Since starting graduate school,2008,NA
Education,Since starting graduate school,2008,NA
Education,Since starting graduate school,2008,NA
Education,Since starting graduate school,2008,NA
All fields,Since bachelor's,2013,9
All fields,Since starting graduate school,2013,7.5
All fields,Since starting graduate school,2013,NA
All fields,Since bachelor's,2013,8.4
All fields,Since starting graduate school,2013,6.9
All fields,Since starting graduate school,2013,NA
All fields,Since bachelor's,2013,7.3
All fields,Since starting graduate school,2013,6.5
All fields,Since starting graduate school,2013,NA
All fields,Since bachelor's,2013,9.4
All fields,Since starting graduate school,2013,7.7
Engineering,Since bachelor's,2013,7.3
Engineering,Since starting graduate school,2013,6.6
Education,Since bachelor's,2013,15
Education,Since starting graduate school,2013,11.7
Education,Since starting graduate school,2013,NA
Education,Since bachelor's,2013,11
Education,Since starting graduate school,2013,9.2
Education,Since starting graduate school,2013,NA
Education,Since bachelor's,2013,11.6
Education,Since starting graduate school,2013,9.3
Education,Since starting graduate school,2013,NA
Education,Since starting graduate school,2013,NA
Education,Since starting graduate school,2013,NA
Education,Since starting graduate school,2013,NA
Education,Since starting graduate school,2013,NA
